opponent_score,roll_target,own_score
1,20.9,0
0,20.9,0
1,20.9,1
0,20.9,1
2,20.9,0
2,20.9,1
3,20.9,0
3,20.9,1
4,20.9,0
4,20.9,1
5,20.9,0
5,20.9,1
6,20.9,0
6,20.9,1
7,20.9,0
7,20.9,1
8,20.9,0
8,20.9,1
9,20.9,0
9,20.9,1
9.1,21,0
10,20.9,1
10,21,0.9
10.1,21,1
10,21.9,0
11,21.9,1
11,21.9,0
12,21.9,0
12,21.9,1
13,21.9,0
13,21.9,1
14,21.9,0
14,21.9,1
15,21.9,0
15,21.9,1
15.1,22,0
16,21.9,1
16,22,0.9
16.1,22,1
16,22.9,0
17,22.9,1
17,22.9,0
18,22.9,0
18,22.9,1
19,22.9,0
19,22.9,1
20,22.9,0
20,22.9,1
21,22.9,0
21,22.9,1
22,22.9,0
22,22.9,1
23,22.9,0
23,22.9,1
24,22.9,0
24,22.9,1
25,22.9,0
25,22.9,1
25.1,23,0
26,22.9,1
26,23,0.9
26.1,23,1
26,23.9,0
27,23.9,1
27,23.9,0
28,23.9,0
28,23.9,1
29,23.9,0
29,23.9,1
30,23.9,0
30,23.9,1
30.1,24,0
31,23.9,1
31,24,0.9
31.1,24,1
31,24.9,0
32,24.9,1
32,24.9,0
33,24.9,0
33,24.9,1
34,24.9,0
34,24.9,1
35,24.9,0
35,24.9,1
35.1,25,0
36,24.9,1
36,25,0.9
36.1,25,1
36,25.9,0
37,25.9,1
37,25.9,0
38,25.9,0
38,25.9,1
39,25.9,0
39,25.9,1
40,25.9,0
40,25.9,1
41,25.9,0
41,25.9,1
42,25.9,0
42,25.9,1
43,25.9,0
43,25.9,1
44,25.9,0
44,25.9,1
45,25.9,0
45,25.9,1
46,25.9,0
46,25.9,1
47,26,0.1
46.1,26,1
47,25.9,0
47.1,26,0
47,26.9,1
48,27,0.1
47.1,27,1
48,26.9,0
48.1,27,0
48,27.9,1
49,28,0.1
48.1,28,1
49,27.9,0
49.1,28,0
53,28,0.9
52.9,28,1
53,27.9,1
54,27.9,0
53.9,28,0
54,27.9,1
55,27.9,0
55,27.9,1
55.1,28,0
56,27.9,1
56,28,0.9
56.1,28,1
75,27.9,0
74.9,28,1
75,27.9,1
74.9,28,0
75.1,28,0
75.1,28,1
49,28.9,1
50,28.9,0
50,28.9,1
50.1,29,0
50.1,29,1
52,29,0.9
51.9,29,1
52,28.9,1
52.9,29,0
53,28.9,0
56,28.9,0
57,28.9,1
57,28.9,0
57.1,29,0
57.1,29,1
74,29,0.9
73.9,29,1
74,28.9,1
74.9,29,0
76,28.9,1
76,29,0.9
75.1,29,0
76.1,29,1
51,29.9,1
51,29.9,0
52,29.9,0
58,29.9,1
58,29.9,0
58.1,30,0
58.1,30,1
74,29.9,0
73.9,30,0
73.9,30,1
76,29.9,0
76.1,30,0
76.1,30,1
59,30.9,1
59,30.9,0
59.1,31,0
59.1,31,1
73.9,31,0
73.9,31,1
76.1,31,0
76.1,31,1
60,31.9,1
60,31.9,0
61,31.9,0
61,31.9,1
62,31.9,0
62,31.9,1
63,32,0.1
62.1,32,1
63,31.9,0
64,32,0.1
64,31.9,0
64.1,32,0
73.9,32,0
73.9,32,1
76.1,32,0
76.1,32,1
63,32.9,1
63.1,33,1
64,33,0.1
64.1,33,0
73,33,0.9
72.9,33,1
73,32.9,1
73.9,33,0
76.1,33,0
76.1,33,1
64,34,0.1
63.1,34,1
64.1,34,0
73,33.9,0
72.9,34,0
72.9,34,1
76.1,34,0
76.1,34,1
64,34.9,1
64.1,35,1
64.1,35,0
72,35,0.9
71.9,35,1
72,34.9,1
72.9,35,0
76.1,35,0
76.1,35,1
64.1,36,0
64.1,36,1
72,35.9,0
71.9,36,0
71.9,36,1
76.1,36,0
76.1,36,1
65,36.9,1
65,36.9,0
65.1,37,0
65.1,37,1
71.9,37,0
71.9,37,1
76.1,37,0
76.1,37,1
66,37.9,1
66,38,0.9
65.1,38,0
66.1,38,1
71,37.9,0
70.9,38,1
71,37.9,1
70.9,38,0
76.1,38,0
76.1,38,1
66,38.9,0
67,38.9,1
67,38.9,0
68,38.9,0
68,38.9,1
69,38.9,0
69,38.9,1
69.1,39,0
70,38.9,1
70,39,0.9
70.9,39,0
76.1,39,0
76.1,39,1
70,39.9,0
76.1,40,0
76.1,40,1
76.1,41,0
76.1,41,1
76,42,0.1
76,41.1,1
75.1,42,1
76.1,42,0
76,42.1,0
75.1,43,0
75.1,43,1
75.1,44,0
75.1,44,1
75,45,0.1
75,44.1,1
74.1,45,1
75.1,45,0
75,45.1,0
74.1,46,0
74.1,46,1
75,46.9,1
75,46.9,0
75.1,47,0
76,46.9,1
76,47,0.9
76.1,47,1
76,47.9,0
77,47.9,1
77,47.9,0
77.1,48,0
77.1,48,1
78,48.9,1
78,48.9,0
79,48.9,0
79,48.9,1
80,48.9,0
80,48.9,1
81,48.9,0
81,48.9,1
82,48.9,0
82,48.9,1
83,48.9,0
83,48.9,1
83.1,49,0
83.1,49,1
83.1,50,0
83.1,50,1
83.1,51,0
83.1,51,1
83.1,52,0
83.1,52,1
83.1,53,0
83.1,53,1
83.1,54,0
83.1,54,1
83.1,55,0
83.1,55,1
83.1,56,0
83.1,56,1
83.1,57,0
83.1,57,1
83.1,58,0
83.1,58,1
83.1,59,0
83.1,59,1
83.1,60,0
83.1,60,1
83.1,61,0
83.1,61,1
83.1,62,0
83.1,62,1
83.1,63,0
83.1,63,1
83,64,0.1
83,63.1,1
82.1,64,1
83.1,64,0
83,64.1,0
82.1,65,0
82.1,65,1
82.1,66,0
82.1,66,1
82.1,67,0
82.1,67,1
82.1,68,0
82.1,68,1
82.1,69,0
82.1,69,1
82.1,70,0
82.1,70,1
82,71,0.1
82,70.1,1
81.1,71,1
82.1,71,0
82,71.1,0
81.1,72,0
81.1,72,1
81.1,73,0
81.1,73,1
81.1,74,0
81.1,74,1
81.1,75,0
81.1,75,1
81,76,0.1
81,75.1,1
80.1,76,1
81.1,76,0
81,76.1,0
80.1,77,0
80.1,77,1
80.1,78,0
80.1,78,1
80,79,0.1
80,78.1,1
79.1,79,1
80.1,79,0
80,79.1,0
79.1,80,0
79.1,80,1
79,81,0.1
79,80.1,1
78.1,81,1
79.1,81,0
79,81.1,0
78.1,82,0
78.1,82,1
78,83,0.1
